t,vx_y0.2500,vx_y0.5000,vx_y0.7500,vx_y1.0000,vx_y1.2500,A_drv,f_drive,H,B0y,rho0,yd_bottom
2.9925508515e+00,6.0365560715e-04,1.4622375586e-03,-3.4940615457e-04,-2.9527140016e-04,2.4894953105e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9942786532e+00,6.3459767901e-04,1.4638431141e-03,-4.1076454176e-04,-2.6532255522e-04,2.4381955719e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9960064550e+00,6.6524787451e-04,1.4652274378e-03,-4.7245036496e-04,-2.3445465517e-04,2.3863905417e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9977342568e+00,6.9557702568e-04,1.4664295538e-03,-5.3439759726e-04,-2.0248831331e-04,2.3334742299e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9994620585e+00,7.2555518240e-04,1.4674879880e-03,-5.9653948178e-04,-1.6963436734e-04,2.2766134861e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0011898603e+00,7.5515177395e-04,1.4683548093e-03,-6.5880874864e-04,-1.3597474970e-04,2.2120961754e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0029176621e+00,7.8433576816e-04,1.4690636162e-03,-7.2113773602e-04,-1.0141536384e-04,2.1410682138e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0046454638e+00,8.1307584648e-04,1.4696854822e-03,-7.8345848219e-04,-6.5934342744e-05,2.0654960516e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0063732656e+00,8.4134059148e-04,1.4702034875e-03,-8.4570282759e-04,-2.9568047663e-05,1.9891993584e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0081010674e+00,8.6909868599e-04,1.4705991391e-03,-9.0780253062e-04,7.6473524261e-06,1.9135780569e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0098288691e+00,8.9631916572e-04,1.4708494416e-03,-9.6968940096e-04,4.5689384197e-05,1.8356339166e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0115566709e+00,9.2297168918e-04,1.4709128567e-03,-1.0312954642e-03,8.4532076420e-05,1.7519864809e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0132844727e+00,9.4902676085e-04,1.4709368385e-03,-1.0925531738e-03,1.2414724705e-04,1.6623211183e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0150122745e+00,9.7445588685e-04,1.4709358755e-03,-1.1533956838e-03,1.6450332471e-04,1.5663637389e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
3.0167400763e+00,9.9923177106e-04,1.4709379190e-03,-1.2137572031e-03,2.0556465780e-04,1.4639232676e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
