zams_mass,M_star,nz,R_star,M_He,xi25,M4,mu4,M_O,M_Ne,M_Mg,M_Si,MgNe,SiNe,SiO,m_O_inner,m_O_outer
16.28,12.48,4481,70968802976513.5,5.115804233373216,0.1998746555807329,1.7294071499114276,0.09783404518321244,1.381966863567775,0.324006872620691,0.04494287105375061,0.11463324198046619,0.1387096227010111,0.3537987977022489,0.0829493419867692,1.7750718140652275,3.879622765094455
16.29,13.03,4514,68698136090643.016,4.971342977631369,0.2114044515274218,1.689964348981024,0.09294270974161141,1.1215400144674506,0.2811834288025943,0.0506639124402323,0.03694961061580751,0.18018100375253998,0.13140749713863153,0.03294542338139632,2.0683318817041543,3.74949116729361
16.3,12.99,4513,68797458522094.914,4.982548273421302,0.20697027354872005,1.6922388312722225,0.09383056481801598,1.2079929621127437,0.29312667927124453,0.05089129871500725,0.08831542162573285,0.17361537626506876,0.30128755883052954,0.07310921867563848,1.9170363401482777,3.765023232382067
16.31,13.1,4516,68537615051851.57,4.961147011638028,0.2151346626400123,1.7003219014608726,0.09423213620099344,1.144251302197531,0.27911868864010253,0.051612349557762914,0.057272860383053265,0.18491183735931138,0.2051917793899543,0.05005269408307504,2.0188068470537255,3.7449161069260755
16.32,12.99,4518,69072950007548.52,5.000720163889376,0.2160931853475349,1.701759433483354,0.09496686416435836,1.1871131240460213,0.2848202885421992,0.05199532351956557,0.07807312028528532,0.1825548446204242,0.27411361980176474,0.0657672118215573,1.9676833206373712,3.7834984857462928
16.33,13.3,4531,67816271357704.16,4.930980250878064,0.21034946103987048,1.6933688627302097,0.09434337007496632,1.1830240906402774,0.2805054160869294,0.05082809413354743,0.08783648095188933,0.1812018279097886,0.31313648833314706,0.07424741528665776,1.9178925750562767,3.7288979880444946
16.34,12.89,4518,69579778329487.93,5.031645176082905,0.2001400154846977,1.6889660266829905,0.09218801169694985,1.2395473713859604,0.3066678844926069,0.05153896502125034,0.08735087606669746,0.16806117506084284,0.28483868211770086,0.07046997806064391,1.907849783947424,3.8068735200952073
16.35,13.25,4533,68297448892655.31,4.95701118947214,0.2092721974083845,1.6835968357143654,0.09183049760386558,1.0902958484462313,0.2791645163714913,0.0498169725613013,0.002991077187860452,0.17845023145781388,0.010714388872689499,0.002743362906612002,2.1518549347495632,3.7443540861557527
16.36,13.37,4540,67806405904462.445,4.932107506136005,0.19967932443990385,1.6533159035989162,0.08539738712349135,1.1560901216702255,0.2610932640531786,0.04508684723354558,0.11842605181376045,0.17268483504178966,0.4535775836393842,0.10243669554296345,1.88196552678517,3.7245702446077504
16.37,13.02,4529,69075680769606.48,5.015681060617767,0.20983015511502703,1.696862664846609,0.09469463140447194,1.2204594727282783,0.29781496757601783,0.05242041697538977,0.09290399379555885,0.17601673079782118,0.31195206389969277,0.07612214569311052,1.9156011302592393,3.7955799736802014
16.38,13.12,4535,68889831025612.35,4.998299241198793,0.20143424043806285,1.6802729807920849,0.09187205870146103,1.1800287361745079,0.3022510122157617,0.052205933027369145,0.05932033027094208,0.17272376573581816,0.19626180847525596,0.050270242115671264,1.9862579137700305,3.779289840718435
16.39,12.73,4516,70318307825677.86,5.0888116586501715,0.18819863935989387,1.7013342520114716,0.09403600228899274,1.3690924862673617,0.3297706665320854,0.045202048480142115,0.11176321536225768,0.13707116207603665,0.33891193700633027,0.08163306459081109,1.7644815594701846,3.8564835708198633
16.4,13.2,4539,68515310988855.24,4.988113507829073,0.21072214243439796,1.684324763961962,0.09120397418589958,1.1005493652734655,0.27735126261593307,0.0498878268631509,0.003025672685117615,0.17987236255071218,0.010909172204878213,0.0027492384990525105,2.165833112769738,3.7767072537927504
16.41,13.55,4556,67489352823952.27,4.915692772612555,0.12185157020923788,1.626071237025189,0.04923973341218687,1.3993678652757218,0.04142393696734935,0.040524990488699765,0.3019122825657451,0.9782988642687889,7.288353176177209,0.21574904644981138,1.626722178561501,3.7067905971676662
16.42,12.76,4530,70318794757515.92,5.106094052000951,0.2386191008650059,1.7702198106998284,0.10227807462656924,1.3358428400383486,0.22326427219649342,0.02696773665488499,0.16779861729663142,0.12078841092474868,0.7515694994358657,0.12561254383173873,1.814448506919708,3.8765663603439355
16.43,13.31,4551,68426984585309.25,4.976908480814658,0.2116239148226621,1.6800875548397916,0.09118389959970423,1.0869319112149556,0.2764041343165349,0.04817347355017466,0.0028674399934549505,0.17428637118360518,0.010374085035107292,0.00263810452510293,2.17403962382873,3.7650074656405166
16.44,12.77,4527,70426598806157.61,5.125199010575751,0.16083154318785522,1.6212488525791822,0.08367430057834685,1.361846313778966,0.37733714964236653,0.05192583731736561,0.04208092954508228,0.1376112512817251,0.111520770178515,0.030899910745664515,1.876323937614287,3.9033501859985815
16.45,13.39,4560,68203084000957.984,4.975003518118403,0.21070362012057628,1.6873897296183775,0.09184949385228748,1.091648761061321,0.2816315060226325,0.05064209067750505,0.003044546775625426,0.17981685143364376,0.010810391275544149,0.002788943554211944,2.1603770179083157,3.760223781338582
16.46,13.52,4572,67824694836734.62,4.954198725863161,0.2084999651798116,1.6862194241444692,0.09191379738881227,1.089443901256486,0.28384601617359984,0.05119808194445284,0.0030700496343315314,0.18037273390210334,0.010815898266664039,0.0028179969898319292,2.149818203282013,3.750586824847283
