mode,rho_cut,y,rho,N2
rescaled_domain,0.1,0.0010931863906127326,0.9999975936179065,0.004329337438497274
rescaled_domain,0.1,0.002458548727494292,0.9999880250068858,0.0096995916882837
rescaled_domain,0.1,0.004367965336512403,0.999962318025817,0.017221292935973336
rescaled_domain,0.1,0.006819348298638839,0.9999082784819414,0.02689095993285254
rescaled_domain,0.1,0.009810017062595322,0.9998101901898757,0.03869341509228246
rescaled_domain,0.1,0.013336701375997129,0.9996492699718651,0.05260496979241381
rescaled_domain,0.1,0.017395544861325718,0.9994033303471909,0.06861898674743447
rescaled_domain,0.1,0.02198210923282118,0.9990474097734912,0.08670289548265081
rescaled_domain,0.1,0.02709137914968268,0.9985535077442423,0.10685828736714947
rescaled_domain,0.1,0.03271776770026952,0.9978909703491978,0.12905595204076234
rescaled_domain,0.1,0.03885512251130763,0.9970267464798813,0.1532688997769198
rescaled_domain,0.1,0.045496732475418855,0.9959255772286881,0.1794790631574411
rescaled_domain,0.1,0.05263533508961826,0.9945502109973487,0.2076589750393481
rescaled_domain,0.1,0.06026312439675552,0.9928618883694896,0.23777497988648597
rescaled_domain,0.1,0.06837175952121305,0.9908205704069893,0.2698027316248728
rescaled_domain,0.1,0.07695237378953235,0.9883852816718993,0.30370902978035685
rescaled_domain,0.1,0.08599558442598998,0.9855146711978474,0.3394604732552197
rescaled_domain,0.1,0.09549150281252633,0.9821672607167872,0.37702478166985
rescaled_domain,0.1,0.10542974530180327,0.9783020689891188,0.41636841709289735
rescaled_domain,0.1,0.11579944457157043,0.9738789101120855,0.45745865897559623
rescaled_domain,0.1,0.1265892615079232,0.9688590508723848,0.5002553040132328
rescaled_domain,0.1,0.13778739760445552,0.9632056847910061,0.5447193207175813
rescaled_domain,0.1,0.1493816078637557,0.9568844523376578,0.5908157752008472
rescaled_domain,0.1,0.16135921418712956,0.9498638409528524,0.6385109567497483
rescaled_domain,0.1,0.17370711923791565,0.9421157600055129,0.6877645329505125
rescaled_domain,0.1,0.18641182076323148,0.9336160891621245,0.7385376673771609
rescaled_domain,0.1,0.19945942635848746,0.9243450261572339,0.7907932774964945
rescaled_domain,0.1,0.2128356686585282,0.9142875758335154,0.8444933563596161
rescaled_domain,0.1,0.22652592093878665,0.9034338728137044,0.8996019588688676
rescaled_domain,0.1,0.2405152131093924,0.8917795079572344,0.9560830374323285
rescaled_domain,0.1,0.2547882480847459,0.87932578975448,1.0139014683593013
